Type, Frame #, Frame #, x(upper left), y(upper left), object_label, %
Still,0,0,297.0,68.0,sunscreen/ sunblock/ sun blocker,0.329467
Still,73,73,616.0,294.0,Japanese spaniel,0.335605
Still,66,66,824.0,310.0,Japanese spaniel,0.414643
Still,6,6,813.0,217.0,Japanese spaniel,0.650067
Still,256,256,708.0,423.0,Japanese spaniel,0.409914
Moving, 6, 7, 811, 215, Japanese spaniel, 0.5000
Moving, 6, 7, 716, 223, Sealyham terrier/ Sealyham, 0.5000
Moving, 11, 15, 738, 234, cleaver/ meat cleaver/ chopper, 0.2000
Moving, 13, 258, 260, 120, croquet ball, 0.0122
Moving, 15, 15, 692, 259, milk can, 1.0000
Moving, 16, 17, 734, 284, milk can, 1.0000
Moving, 19, 19, 896, 243, cleaver/ meat cleaver/ chopper, 1.0000
Moving, 25, 25, 623, 265, cleaver/ meat cleaver/ chopper, 1.0000
Moving, 32, 57, 938, 243, cleaver/ meat cleaver/ chopper, 0.6538
Moving, 38, 258, 688, 286, toy terrier, 0.0390
Moving, 42, 47, 714, 317, safety pin, 0.1667
Moving, 53, 258, 83, 61, beaker, 0.0049
Moving, 56, 56, 885, 282, safety pin, 1.0000
Moving, 73, 75, 791, 331, loupe/ jeweler's loupe, 0.3333
Moving, 88, 121, 570, 297, plunger/ plumber's helper, 0.0968
Moving, 91, 258, 762, 361, Japanese spaniel, 0.0136
Moving, 99, 258, 740, 378, cleaver/ meat cleaver/ chopper, 0.0496
Moving, 113, 117, 822, 357, fox squirrel/ eastern fox squirrel/ Sciurus niger, 0.2000
Moving, 136, 165, 700, 385, ballpoint/ ballpoint pen/ ballpen/ Biro, 0.1111
Moving, 138, 140, 630, 232, nipple, 0.3333
Moving, 176, 177, 654, 404, hare, 0.5000
Moving, 186, 188, 559, 296, safety pin, 0.6667
Moving, 207, 246, 740, 423, plunger/ plumber's helper, 0.6667
Moving, 223, 233, 774, 402, broom, 0.5000
Moving, 230, 230, 625, 469, combination lock, 1.0000
Moving, 235, 235, 656, 444, pinwheel, 1.0000
Moving, 255, 258, 672, 495, carpenter's kit/ tool kit, 0.2500
